회사명,항목코드,항목명,2019,2020,2021,2022,2023,2024(예측)
HDC현대EP,dart_OperatingIncomeLoss,영업이익,21011221387.0,25279564643.0,25855702460.0,12420451956.0,25097103990.0,12323075444.90039
HDC현대EP,ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익,32208725620.0,18057823028.0,5847382242.0,21136595731.0,21136595731.0,3413240996.6992188
HDC현대EP,ifrs-full_ProfitLoss,당기순이익,23134723717.0,12438975071.0,982283220.0,15436443404.0,10854827963.0,905069876.5
HDC현대EP,ifrs-full_Revenue,매출액,696887363122.0,569314142031.0,713643151785.0,847333958624.0,823770871262.0,915278732581.5
HDC현대EP,ifrs-full_CostOfSales,매출원가,635441040547.0,503997551493.0,642553749922.0,787313137093.0,744419004507.0,850286740587.2031
HDC현대EP,ifrs-full_GrossProfit,매출총이익,61446322575.0,65316590538.0,71089401863.0,60020821531.0,79351866755.0,64991991994.29999
HDC현대EP,dart_TotalSellingGeneralAdministrativeExpenses,판관비와관리비,38036061164.0,36599226484.0,43401719585.0,46067888005.0,51995005854.0,51840514577.90039
HDC현대EP,ifrs-full_CurrentAssets,유동자산,266278240265.0,255003589822.0,264797910707.0,275788774964.0,297947940596.0,278881202683.2002
HDC현대EP,ifrs-full_NoncurrentAssets,비유동자산,196787379196.0,188212669017.0,203706652383.0,220878183693.0,199160159584.0,233114459972.19922
HDC현대EP,ifrs-full_Liabilities,부채총계,219893842850.0,190150828637.0,218127006220.0,232970638765.0,236216111875.0,238807876982.80078
LG헬로비전,dart_OperatingIncomeLoss,영업이익,30358409040.0,34935947866.0,44349309269.0,52214500194.0,45489928746.0,66708113795.0
LG헬로비전,ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익,-91854543249.0,-309176392313.0,35411207465.0,-15203295766.0,-37451014971.0,105883713813.70312
LG헬로비전,ifrs-full_ProfitLoss,당기순이익,-95166125167.0,-311858095586.0,27225416135.0,-27233606632.0,-47333816820.0,88250270751.59375
LG헬로비전,ifrs-full_Revenue,매출액,1108351144965.0,1056007269461.0,1080234371475.0,1168286507129.0,1191623725696.0,1174631439234.6016
LG헬로비전,ifrs-full_CostOfSales,매출원가,1060411637673.0,1013872972731.0,1035885062206.0,1116072006935.0,1146133796950.0,1122708038927.6016
LG헬로비전,ifrs-full_CurrentAssets,유동자산,330887963026.0,373478361776.0,432442528638.0,463349748309.0,405394188223.0,559761983386.0938
LG헬로비전,ifrs-full_NoncurrentAssets,비유동자산,1457759958195.0,1090890467677.0,1046724761823.0,953819476818.0,903585404891.0,592703163633.5
LG헬로비전,ifrs-full_Liabilities,부채총계,838196521966.0,833176071552.0,826393391909.0,793223133295.0,746643115092.0,773151283700.8984
경동나비엔,dart_OperatingIncomeLoss,영업이익,39202885920.0,45462923043.0,46249998506.0,58702662071.0,56299546067.0,68154858755.59961
경동나비엔,ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익,36572742116.0,27349353016.0,80240634098.0,61301044684.0,59959204409.0,95842609553.60156
경동나비엔,ifrs-full_ProfitLoss,당기순이익,20474156668.0,18888347683.0,62278873056.0,43696302615.0,46331095297.0,75904357130.39844
경동나비엔,ifrs-full_Revenue,매출액,655419303306.0,746324940227.0,951116272454.0,979557977739.0,995055167584.0,1245127197865.5938
경동나비엔,ifrs-full_CostOfSales,매출원가,479160026473.0,530410811866.0,703555955141.0,697966233969.0,685808199860.0,893120574879.3125
경동나비엔,ifrs-full_GrossProfit,매출총이익,176259276833.0,215914128361.0,247560317313.0,281591743770.0,309246967724.0,352006622986.2969
경동나비엔,dart_TotalSellingGeneralAdministrativeExpenses,판관비와관리비,137056390913.0,170451205318.0,201310318807.0,222889081699.0,252947421657.0,283851764230.7031
경동나비엔,ifrs-full_CurrentAssets,유동자산,214093728702.0,269865078793.0,348983400473.0,359980071128.0,364161621276.0,479102641909.2969
경동나비엔,ifrs-full_NoncurrentAssets,비유동자산,247513288433.0,265646520818.0,318524044900.0,356164946343.0,381185891371.0,429553574357.7031
경동나비엔,ifrs-full_Liabilities,부채총계,207047496047.0,254061087431.0,306568385781.0,308958318843.0,303326965541.0,394542740383.7969
